ID,Name,Gender,County,Interests,Seeking
1,Agatha,Female,Suffolk,"Swimming, Football",Male
2,Alex,Female,Suffolk,"Cricket, Rugby",Male
3,Colleen,Female,Norfolk,"Cricket, Rugby",Male
4,Erin,Female,Essex,"Football, Running",Male
5,Naomi,Female,Norfolk,"Running, Football, Swimming",Male
6,Anna,Female,Essex,"Running, Cricket, Swimming",Male
7,Amy,Female,Norfolk,"Football, Running",Male
8,Lucy,Female,Essex,"Tennis, Swimming",Male
9,Liz,Female,Cambridgeshire,Football,Male
10,Rachael,Female,Essex,"Football, Running, Badminton",Male
11,Jo,Female,Suffolk,"Cricket, Cycling, Football, Tennis",Male
12,Tamara,Female,Norfolk,"Swimming, Running",Male
13,Sally,Female,Essex,Football,Male
14,Laura,Female,Norfolk,"Rugby, Badminton, Gym",Male
15,Abbie,Female,Cambridgeshire,"Football, Running,Hockey",Male
16,Esther,Female,Essex,"Football, Running, Badminton",Male
17,Claire,Female,Suffolk,Cricket,nonbinary
18,Ella,Female,Suffolk,"Football, Cricket, Rugby, Cycling",Female
19,Gina,Female,Cambridgeshire,"Cricket, Running, Tennis, Swimming, Badminton",Male
20,Florence,Female,Suffolk,Cycling,Male
21,Janet,Female,Essex,"Cricket, Swimming, Tennis, Rugby, Gym",Male
22,Faith,Female,Essex,"Tennis, Football, Rugby, Cycling",Male
23,Gabbi,Female,Norfolk,Swimming,Male
24,Hope,Female,Cambridgeshire,"Swimming, Football, Cycling, Running",nonbinary
25,Emma,Female,Suffolk,"Tennis, Swimming",Male
26,Emily,Female,Cambridgeshire,"Swimming, Running, Gym",Male
27,Jessica,Female,Suffolk,"Tennis, Gym",Male
28,Jane,Female,Suffolk,"Swimming, Cricket, Hockey",Male
29,Karen,Female,Cambridgeshire,"Football, Running",Male
30,Lisa,Female,Norfolk,"Football, Running",Male
31,Lois,Female,Cambridgeshire,"Swimming, Football, Running, Tennis",Male
32,Melissa,Female,Suffolk,"Running, Cricket, Boxing",Male
33,Terri,Female,Cambridgeshire,Tennis,Male
34,Mona,Female,Suffolk,"Running, Cycling, Swimming",Male
35,Julie,Female,Norfolk,"Rugby, Swimming",nonbinary
36,Peggy,Female,Essex,"Football, Running",Male
37,Kelly,Female,Suffolk,"Cricket, Running, Rugby, Cycling",Male
38,Penny,Female,Suffolk,"Tennis, Cycling",Male
39,Rebecca,Female,Essex,"Swimming, Rugby, Gym",Male
40,Catherine,Female,Cambridgeshire,"Cycling, Running",Male
41,Ruth,Female,Norfolk,"Football, Running, Tennis",Female
42,Samantha,Female,Norfolk,"Football, Running",Male
43,Sarah,Female,Essex,"Cricket, Cycling, Tennis",Male
44,Jules,Female,Cambridgeshire,"Football, Running, Badminton",Male
45,Ruby,Female,Suffolk,Cricket,nonbinary
46,Tanya,Female,Norfolk,"Football, Cycling, Rugby, Cricket",Female
47,Tina,Female,Suffolk,"Football, Swimming, Running, Rugby",Female
48,Zoe,Female,Suffolk,"Football, Running, Gym",Male
49,Wilma,Female,Essex,"Football, Running",Female
50,Victora,Female,Suffolk,"Running, Football, Cricket",Female
51,Sue,Female,Essex,"Running, Cricket",Male
52,Shelley,Female,Essex,"Rugby, Cricket, Cycling, Swimming",Male
53,Amber,Female,Norfolk,Cricket,Male
54,Daisy,Female,Essex,"Football, Cycling",Male
55,Robyn,Female,Essex,"Football, Running",Male
56,Rose,Female,Suffolk,"Football, Rugby",Male
57,Polly,Female,Cambridgeshire,"Football, Rugby, Tennis",Male
58,Pat,Female,Suffolk,Rugby,Male
59,Holly,Female,Suffolk,"Tennis, Football, Swimming, Rugby",Male
60,Nicole,Female,Norfolk,"Rugby, Running",Male
61,Myra,Female,Norfolk,"Swimming, Cycling, Tennis",Male
62,Morgan,Female,Norfolk,"Swimming, Football, Cricket, Rugby",Male
63,Nancy,Female,Essex,Running,Male
64,Joanne,Female,Suffolk,"Cricket, Football",Male
65,Mary,Female,Cambridgeshire,"Cycling, Rugby, Football",Female
66,Lynn,Female,Cambridgeshire,"Football, Swimming, Running",Male
67,Lisa,Female,Suffolk,"Football, Cycling, Running",Female
68,Lily,Female,Suffolk,Cricket,Male
69,Lillian,Female,Essex,"Cricket, Swimming",Male
70,Kay,Female,Cambridgeshire,"Swimming, Football, Cricket, Cycling",nonbinary
71,Kim,Female,Norfolk,"Football, Running",nonbinary
72,June,Female,Suffolk,"Rugby, Cricket",nonbinary
73,Jody,Female,Cambridgeshire,Rugby,nonbinary
74,Iris,Female,Essex,"Football, Cycling, Rugby",Male
75,Imogen,Female,Cambridgeshire,"Tennis, Cricket, Cycling, Rugby",Male
76,Jocelyn,Female,Suffolk,"Tennis, Running",Male
77,Grace,Female,Essex,"Cycling, Running, Football",Male
78,Harriet,Female,Norfolk,"Tennis, Football",Male
79,Elaine,Female,Suffolk,"Tennis, Running, Swimming",Male
80,Georgina,Female,Norfolk,"Football, Cricket, Cycling, Swimming",Male
81,Franky,Female,Suffolk,"Running, Rugby, Tennis",Female
82,Jenny,Female,Norfolk,"Football, Running",Female
83,Alice,Female,Suffolk,Tennis,Female
84,Nelly,Female,Suffolk,"Tennis, Rugby, Cricket",Female
85,Deborah,Female,Suffolk,"Tennis, Cricket, Swimming, Running",Male
86,Adele,Female,Cambridgeshire,"Rugby, Running, Tennis",Male
87,Kylie,Female,Cambridgeshire,"Football, Running",Male
88,Claudia,Female,Norfolk,Football,Male
89,Kit,Female,Norfolk,Cricket,Male
90,Carol,Female,Cambridgeshire,"Football, Running, Rugby",Male
91,Brie,Female,Essex,"Rugby, Cycling",Male
92,Bridget,Female,Essex,"Rugby, Football, Cycling, Cricket",Male
93,Betty,Female,Suffolk,"Tennis, Cricket, Golf, Badminton",Male
94,Alana,Female,Cambridgeshire,"Tennis, Cricket, Rugby, Swimming",nonbinary
95,Lexy,Female,Cambridgeshire,"Rugby, Running",Male
96,Amie,Female,Cambridgeshire,"Cycling, Football, Golf",nonbinary
97,Thea,Female,Suffolk,"Running, Tennis",Female
98,April,Female,Essex,"Running, Rugby, Cycling, Cricket",Male
99,Bertha,Female,Norfolk,"Swimming, Running, Cricket, Cycling",Male
100,Eva,Female,Cambridgeshire,"Football, Running, Badminton, Gym",Female
